Reaction ID;dG0
DM_4crsol_c;NaN
DM_5drib_c;NaN
DM_aacald_c;NaN
DM_amob_c;NaN
DM_mththf_c;NaN
DM_oxam_c;NaN
BIOMASS_Ec_iJO1366_WT_53p95M;NaN
BIOMASS_Ec_iJO1366_core_53p95M;NaN
EX_12ppd__R_e;NaN
EX_12ppd__S_e;NaN
EX_14glucan_e;NaN
EX_15dap_e;NaN
EX_23camp_e;NaN
EX_23ccmp_e;NaN
EX_23cgmp_e;NaN
EX_23cump_e;NaN
EX_23dappa_e;NaN
EX_26dap__M_e;NaN
EX_2ddglcn_e;NaN
EX_34dhpac_e;NaN
EX_3amp_e;NaN
EX_3cmp_e;NaN
EX_3gmp_e;NaN
EX_3hcinnm_e;NaN
EX_3hpp_e;NaN
EX_3hpppn_e;NaN
EX_3ump_e;NaN
EX_4abut_e;NaN
EX_4hoxpacd_e;NaN
EX_5dglcn_e;NaN
EX_5mtr_e;NaN
EX_LalaDglu_e;NaN
EX_LalaDgluMdap_e;NaN
EX_LalaDgluMdapDala_e;NaN
EX_LalaLglu_e;NaN
EX_ac_e;NaN
EX_acac_e;NaN
EX_acald_e;NaN
EX_acgal_e;NaN
EX_acgal1p_e;NaN
EX_acgam_e;NaN
EX_acgam1p_e;NaN
EX_acmana_e;NaN
EX_acmum_e;NaN
EX_acnam_e;NaN
EX_acolipa_e;NaN
EX_acser_e;NaN
EX_ade_e;NaN
EX_adn_e;NaN
EX_adocbl_e;NaN
EX_ag_e;NaN
EX_agm_e;NaN
EX_akg_e;NaN
EX_ala_B_e;NaN
EX_ala__D_e;NaN
EX_ala__L_e;NaN
EX_alaala_e;NaN
EX_all__D_e;NaN
EX_alltn_e;NaN
EX_amp_e;NaN
EX_anhgm_e;NaN
EX_arab__L_e;NaN
EX_arbt_e;NaN
EX_arbtn_e;NaN
EX_arbtn_fe3_e;NaN
EX_arg__L_e;NaN
EX_ascb__L_e;NaN
EX_asn__L_e;NaN
EX_aso3_e;NaN
EX_asp__L_e;NaN
EX_btn_e;NaN
EX_but_e;NaN
EX_butso3_e;NaN
EX_ca2_e;NaN
EX_cbi_e;NaN
EX_cbl1_e;NaN
EX_cd2_e;NaN
EX_cgly_e;NaN
EX_chol_e;NaN
EX_chtbs_e;NaN
EX_cit_e;NaN
EX_cl_e;NaN
EX_cm_e;NaN
EX_cmp_e;NaN
EX_co2_e;NaN
EX_cobalt2_e;NaN
EX_colipa_e;NaN
EX_colipap_e;NaN
EX_cpgn_e;NaN
EX_cpgn_un_e;NaN
EX_crn_e;NaN
EX_crn__D_e;NaN
EX_csn_e;NaN
EX_cu_e;NaN
EX_cu2_e;NaN
EX_cyan_e;NaN
EX_cynt_e;NaN
EX_cys__D_e;NaN
EX_cys__L_e;NaN
EX_cytd_e;NaN
EX_dad_2_e;NaN
EX_damp_e;NaN
EX_dca_e;NaN
EX_dcmp_e;NaN
EX_dcyt_e;NaN
EX_ddca_e;NaN
EX_dgmp_e;NaN
EX_dgsn_e;NaN
EX_dha_e;NaN
EX_dimp_e;NaN
EX_din_e;NaN
EX_dms_e;NaN
EX_dmso_e;NaN
EX_dopa_e;NaN
EX_doxrbcn_e;NaN
EX_dtmp_e;NaN
EX_dump_e;NaN
EX_duri_e;NaN
EX_eca4colipa_e;NaN
EX_enlipa_e;NaN
EX_enter_e;NaN
EX_etha_e;NaN
EX_ethso3_e;NaN
EX_etoh_e;NaN
EX_f6p_e;NaN
EX_fald_e;NaN
EX_fe2_e;NaN
EX_fe3_e;NaN
EX_fe3dcit_e;NaN
EX_fe3dhbzs_e;NaN
EX_fe3hox_e;NaN
EX_fe3hox_un_e;NaN
EX_fecrm_e;NaN
EX_fecrm_un_e;NaN
EX_feenter_e;NaN
EX_feoxam_e;NaN
EX_feoxam_un_e;NaN
EX_for_e;NaN
EX_fru_e;NaN
EX_frulys_e;NaN
EX_fruur_e;NaN
EX_fuc__L_e;NaN
EX_fum_e;NaN
EX_fusa_e;NaN
EX_g1p_e;NaN
EX_g3pc_e;NaN
EX_g3pe_e;NaN
EX_g3pg_e;NaN
EX_g3pi_e;NaN
EX_g3ps_e;NaN
EX_g6p_e;NaN
EX_gal_e;NaN
EX_gal_bD_e;NaN
EX_gal1p_e;NaN
EX_galct__D_e;NaN
EX_galctn__D_e;NaN
EX_galctn__L_e;NaN
EX_galt_e;NaN
EX_galur_e;NaN
EX_gam_e;NaN
EX_gam6p_e;NaN
EX_gbbtn_e;NaN
EX_gdp_e;NaN
EX_glc__D_e;NaN
EX_glcn_e;NaN
EX_glcr_e;NaN
EX_glcur_e;NaN
EX_glcur1p_e;NaN
EX_gln__L_e;NaN
EX_glu__L_e;NaN
EX_gly_e;NaN
EX_glyald_e;NaN
EX_glyb_e;NaN
EX_glyc_e;NaN
EX_glyc__R_e;NaN
EX_glyc2p_e;NaN
EX_glyc3p_e;NaN
EX_glyclt_e;NaN
EX_gmp_e;NaN
EX_gsn_e;NaN
EX_gthox_e;NaN
EX_gthrd_e;NaN
EX_gtp_e;NaN
EX_gua_e;NaN
EX_h_e;NaN
EX_h2_e;NaN
EX_h2o_e;NaN
EX_h2o2_e;NaN
EX_h2s_e;NaN
EX_hacolipa_e;NaN
EX_halipa_e;NaN
EX_hdca_e;NaN
EX_hdcea_e;NaN
EX_hg2_e;NaN
EX_his__L_e;NaN
